Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:41.066000,1.17.csv,Audio File 1.mp3,0.1961304,0.240922343,Green,Audio File 1,123.046875,1.732710888,124.0472561,0.0,0.009274853,0.0,41.066,0.0,0,0.960171361,0.0,0,0,0.222385324,0.222385324,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:41.770000,1.3.csv,Audio File 1.mp3,0.495194188,-0.264865087,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.009274853,0.0,41.77,0.0,0,0,0.0,0,0,-0.50578743,0.50578743,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:43.030000,1.2.csv,Audio File 1.mp3,0.167741935,0.031854839,Green,Audio File 1,123.046875,0.0,123.046875,0.0,0.004656051,0.0,43.03,0.0,0,0,0.0,0,0,0.296719926,0.296719926,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:43.331000,1.7.csv,Audio File 1.mp3,0.519968753,-0.277511962,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,43.331,0.0,0,0,0.0,0,0,-0.3093668,0.3093668,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:43.784000,1.7.csv,Audio File 1.mp3,0.497998242,0.066692706,Green,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,43.784,0.0,0,0,0.0,0,0,0.344204668,0.344204668,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:45.783000,1.4.csv,Audio File 1.mp3,0.581990623,-0.150473316,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,45.783,0.0,0,0,0.0,0,0,-0.217166022,0.217166022,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:46.354000,1.9.csv,Audio File 1.mp3,0.310891486,-0.334420308,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,46.354,0.0,0,0,0.0,0,0,-0.183946992,0.183946992,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:46.668000,1.12.csv,Audio File 1.mp3,0.404218278,0.127048606,Green,Audio File 1,126.0480183,1.732710888,124.0472561,0.024390244,0.004656051,9.557781187,46.668,3.001143293,3.001143293,30.43879359,2.43902439,2.43902439,2.43902439,0.461468914,0.461468914,Small Change (0-5%),Increase in Tempo → Increase in Arousal,0.5177956372197674,0.4480946123087131
000:00:46.694000,1.5.csv,Audio File 1.mp3,0.29010179,-0.285363285,Blue,Audio File 1,126.0480183,1.732710888,125.0476372,0.0,0.009274853,0.0,46.694,0.0,0,-367.6069687,0.0,0,0,-0.412411892,0.412411892,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:46.945000,1.2.csv,Audio File 1.mp3,0.183870968,0.092064516,Green,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.009274853,0.0,46.945,0.0,0,0,0.0,0,0,0.377427801,0.377427801,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
