Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:04.678000,17.18.csv,Audio File 17.mp3,-0.029761905,0.176429013,Yellow,Audio File 17,130.8139535,14.25008892,122.5866608,0.0,0.080284331,0.0,4.678,0.0,0,-2602.749975,0.0,0,0,0,0,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.816000,17.11.csv,Audio File 17.mp3,-0.049776008,-0.42368433,Red,Audio File 17,130.8139535,0.0,130.8139535,0.0,0.080284331,0.0,4.816,0.0,0,0,0.0,0,0,-0.600113343,0.600113343,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:05.234000,17.2.csv,Audio File 17.mp3,0.20898578,-0.376318265,Blue,Audio File 17,130.8139535,0.0,130.8139535,0.0,0.03874834,0.0,5.234,0.0,0,0,0.0,0,0,0.047366065,0.047366065,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:05.390000,17.20.csv,Audio File 17.mp3,-0.131360986,0.233854581,Yellow,Audio File 17,130.8139535,0.0,130.8139535,0.0,0.0,0.0,5.39,0.0,0,0,0.0,0,0,0.610172846,0.610172846,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:05.602000,17.12.csv,Audio File 17.mp3,-0.029757439,-0.049312328,Red,Audio File 17,140.625,5.664410345,134.0843023,0.075,0.014081714,46.27852128,5.602,9.811046512,9.811046512,218.2949117,7.5,7.5,7.5,-0.283166909,0.283166909,Moderate Change (5-15%),Increase in Tempo → Decrease in Arousal,0.5762645348899893,0.45998546511650223
000:00:05.988000,17.16.csv,Audio File 17.mp3,-0.019480519,-0.308441558,Red,Audio File 17,140.625,5.664410345,137.3546512,0.0,0.027828149,0.0,5.988,0.0,0,-119.8925422,0.0,0,0,-0.25912923,0.25912923,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:06.217000,17.2.csv,Audio File 17.mp3,0.038565816,0.081823715,Green,Audio File 17,140.625,0.0,140.625,0.0,0.027828149,0.0,6.217,0.0,0,0,0.0,0,0,0.390265273,0.390265273,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:06.651000,17.3.csv,Audio File 17.mp3,0.273094515,-0.314192235,Blue,Audio File 17,148.0263158,4.273151663,143.0921053,0.052631579,0.02370075,17.05372302,6.651,7.401315789,7.401315789,39.29429267,5.263157895,5.263157895,5.263157895,-0.396015949,0.396015949,Moderate Change (5-15%),Increase in Tempo → Decrease in Arousal,0.5575328947357068,0.4372399020853791
000:00:06.652000,17.11.csv,Audio File 17.mp3,-0.079189104,-0.014163537,Red,Audio File 17,148.0263158,4.273151663,145.5592105,0.0,0.019739913,0.0,6.652,0.0,0,-17053.72302,0.0,0,0,0.300028698,0.300028698,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:06.692000,17.16.csv,Audio File 17.mp3,0.006493506,-0.058441558,Blue,Audio File 17,148.0263158,0.0,148.0263158,0.0,0.019739913,0.0,6.692,0.0,0,0,0.0,0,0,-0.044278022,0.044278022,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:07.197000,17.4.csv,Audio File 17.mp3,-0.027921159,0.053399217,Yellow,Audio File 17,148.0263158,0.0,148.0263158,0.0,0.009785598,0.0,7.197,0.0,0,0,0.0,0,0,0.111840776,0.111840776,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:07.299000,17.3.csv,Audio File 17.mp3,0.289787333,-0.063799953,Blue,Audio File 17,148.0263158,0.0,148.0263158,0.0,0.0,0.0,7.299,0.0,0,0,0.0,0,0,-0.117199171,0.117199171,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:07.368000,17.17.csv,Audio File 17.mp3,-0.045454545,0.159090909,Yellow,Audio File 17,148.0263158,0.0,148.0263158,0.0,0.0,0.0,7.368,0.0,0,0,0.0,0,0,0.222890862,0.222890862,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:07.376000,17.16.csv,Audio File 17.mp3,-0.029220779,0.087662338,Yellow,Audio File 17,148.0263158,0.0,148.0263158,0.0,0.0,0.0,7.376,0.0,0,0,0.0,0,0,-0.071428571,0.071428571,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:07.496000,17.5.csv,Audio File 17.mp3,0.241935484,-0.653096774,Blue,Audio File 17,148.0263158,0.0,148.0263158,0.0,0.0,0.0,7.496,0.0,0,0,0.0,0,0,-0.740759112,0.740759112,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:07.748000,17.4.csv,Audio File 17.mp3,-0.040779588,0.183820423,Yellow,Audio File 17,104.1666667,25.32238023,133.4064327,-0.296296296,0.063271262,-174.0462267,7.748,-43.85964912,43.85964912,-690.6596297,-29.62962963,29.62962963,29.62962963,0.836917197,0.836917197,Large Change (>15%),Decrease in Tempo → Increase in Arousal,0.15906432749210792,0.08242894059309552
000:00:08.099000,17.9.csv,Audio File 17.mp3,0.020502406,-0.193977337,Blue,Audio File 17,104.1666667,25.32238023,118.7865497,0.0,0.134329757,0.0,8.099,0.0,0,495.8581957,0.0,0,0,-0.37779776,0.37779776,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:08.919000,17.5.csv,Audio File 17.mp3,0.222580645,-0.31116129,Blue,Audio File 17,165.4411765,35.37685473,124.5915033,0.588235294,0.228977342,74.72501196,8.919,61.2745098,61.2745098,91.12806336,58.82352941,58.82352941,58.82352941,-0.117183953,0.117183953,Large Change (>15%),Increase in Tempo → Decrease in Arousal,0.9763071895330846,0.9818741449501892
000:00:09.767000,17.6.csv,Audio File 17.mp3,-0.147450802,0.383504414,Yellow,Audio File 17,137.195122,30.66834417,135.6009884,-0.170731707,0.241094774,-33.30902656,9.767,-28.24605452,28.24605452,-127.3986303,-17.07317073,17.07317073,17.07317073,0.694665704,0.694665704,Large Change (>15%),Decrease in Tempo → Increase in Arousal,0.28043400285481385,0.21011060695624578
000:00:10.582000,17.6.csv,Audio File 17.mp3,-0.069944611,0.538516796,Yellow,Audio File 17,156.25,14.4072071,152.9620995,0.138888889,0.201432307,23.38021846,10.582,19.05487805,19.05487805,69.55735585,13.88888889,13.88888889,13.88888889,0.155012382,0.155012382,Moderate Change (5-15%),Increase in Tempo → Increase in Arousal,0.6481199187152235,0.5249515503942725
000:00:10.751000,17.5.csv,Audio File 17.mp3,0.067741935,-0.024064516,Blue,Audio File 17,156.25,11.00133897,149.898374,0.0,0.131248716,0.0,10.751,0.0,0,-138.344488,0.0,0,0,-0.562581312,0.562581312,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:10.832000,17.3.csv,Audio File 17.mp3,0.164591193,0.174907355,Green,Audio File 17,156.25,0.0,156.25,0.0,0.055860023,0.0,10.832,0.0,0,0,0.0,0,0,0.198971871,0.198971871,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:10.865000,17.4.csv,Audio File 17.mp3,-0.040779588,0.378533772,Yellow,Audio File 17,156.25,0.0,156.25,0.0,0.024463994,0.0,10.865,0.0,0,0,0.0,0,0,0.203626417,0.203626417,Small Change (0-5%),No Change,0.5,0.3837209302384701
